Mã,Tên,Tên gọi khác
1,Kinh,Việt
2,Tày,"Thổ, Ngạn, Phén, Thù Lao, Pa Dí, Tày Khao"
3,Thái,"Tày Đăm, Tày Mười, Tày Thanh, Mán Thanh, Hàng Bông, Tày Mường, Pa Thay, Thổ Đà Bắc"
4,Hoa,"Hán, Triều Châu, Phúc Kiến, Quảng Đông, Hải Nam, Hạ, Xạ Phạng"
5,Khơ-me,"Cur, Cul, Cu, Thổ, Việt gốc Miên, Krôm"
6,Mường,"Mol, Mual, Mọi, Mọi Bi, Ao Tá, Ậu Tá"
7,Nùng,"Xuồng, Giang, Nùng An, Phàn Sinh, Nùng Cháo, Nùng Lòi, Quý Rim, Khèn Lài"
8,HMông,"Mèo, Hoa, Mèo Xanh, Mèo Đỏ, Mèo Đen, Ná Mẻo, Mán Trắng"
9,Dao,"Mán, Động, Trại, Xá, Dìu, Miên, Kiềm, Miền, Quần Trắng, Dao Đỏ, Quần Chẹt, Lô Giang, Dao Tiền, Thanh Y, Lan Tẻn, Đại Bản, Tiểu Bản, Cóc Ngáng, Cóc Mùn, Sơn Đầu"
10,Gia-rai,"Giơ-rai, Tơ-buăn, Chơ-rai, Hơ-bau, Hđrung, Chor"
11,Ngái,"Xín, Lê, Đản, Khách Gia"
12,Ê-đê,"Ra-đê, Đê, Kpạ, A-đham, Krung, Ktul, Đliê Ruê, Blô, Epan, Mđhur, Bih"
13,Ba na,"Giơ-lar. Tơ-lô, Giơ-lâng, Y-lăng, Rơ-ngao, Krem, Roh, ConKđe, A-la Công, Kpăng Công, Bơ-nâm"
14,Xơ-Đăng,"Xơ-teng, Hđang, Tơ-đra, Mơ-nâm, Ha-lăng, Ca-dong, Kmrâng, ConLan, Bri-la, Tang"
15,Sán Chay,"Cao Lan, Sán Chỉ, Mán Cao Lan, Hờn Bạn, Sơn Tử"
16,Cơ-ho,"Xrê, Nốp, Tu-lốp, Cơ-don, Chil, Lat, Lach, Trinh"
17,Chăm,"Chàm, Chiêm Thành, Hroi"
18,Sán Dìu,"Sán Dẻo, Trại, Trại Đất, Mán, Quần Cộc"
19,Hrê,"Chăm Rê, Chom, Krẹ Luỹ"
20,Mnông,"Pnông, Nông, Pré, Bu-đâng, ĐiPri, Biat, Gar, Rơ-lam, Chil"
21,Ra-glai,"Ra-clây, Rai, Noang, La-oang"
22,Xtiêng,Xa-điêng
23,Bru-Vân Kiều,"Bru, Vân Kiều, Măng Coong, Tri Khùa"
24,Thổ,"Kẹo, Mọn, Cuối, Họ, Đan Lai, Ly Hà, Tày Pọng, Con Kha, Xá Lá Vàng"
25,Giáy,"Nhắng, Dẩng, Pầu Thìn Nu Nà, Cùi Chu, Xa"
26,Cơ-tu,"Ca-tu, Cao, Hạ, Phương, Ca-tang"
27,Gié Triêng,"Đgiéh, Tareb, Giang Rẫy Pin, Triêng, Treng, Ta-riêng, Ve, Veh, La-ve, Ca-tang"
28,Mạ,"Châu Mạ, Mạ Ngăn, Mạ Xóp, Mạ Tô, Mạ Krung"
29,Khơ-mú,"Xá Cẩu, Mứn Xen, Pu Thênh, Tềnh, Tày Hay"
30,Co,"Cor, Col, Cùa, Trầu"
31,Tà-ôi,"Tôi-ôi, Pa-co, Pa-hi, Ba-hi"
32,Chơ-ro,"Dơ-ro, Châu-ro"
33,Kháng,"Xá Khao, Xá Súa, Xá Dón, Xá Dẩng, Xá Hốc, Xá Ái, Xá Bung, Quảng Lâm"
34,Xinh-mun,"Puộc, Pụa"
35,Hà Nhì,"U Ni, Xá U Ni"
36,Chu ru,"Chơ-ru, Chu"
37,Lào,"Là Bốc, Lào Nọi"
38,La Chí,"Cù Tê, La Quả"
39,La Ha,"Xá Khao, Khlá Phlạo"
40,Phù Lá,"Bồ Khô Pạ, Mu Di Pạ Xá, Phó, Phổ, Va Xơ"
41,La Hủ,"Lao, Pu Đang, Khù Xung, Cò Xung, Khả Quy"
42,Lự,"Lừ, Nhuồn, Duôn"
43,Lô Lô,Mun Di
44,Chứt,"Sách, Máy, Rục, Mã-liêng, A-rem, Tu vang, Pa-leng, Xơ-Lang, Tơ-hung, Chà-củi, Tắc-củi, U-mo, Xá Lá Vàng"
45,Mảng,"Mảng Ư, Xá Lá Vàng"
46,Pà Thẻn,"Pà Hưng, Tống"
47,Co Lao,
48,Cống,"Xắm Khống, Mấng Nhé, Xá Xeng"
49,Bố Y,"Chủng Chá, Trọng Gia, Tu Di, Tu Din"
50,Si La,"Cù Dề Xừ, Khả pẻ"
51,Pu Péo,"Ka Pèo, Pen Ti Lô Lô"
52,Brâu,Brao
53,Ơ Đu,Tày Hạt
54,Rơ măm,
55,Người nước ngoài,
56,Không rõ,
