ID_Mon,TenMon,KyHieu,TinhTrang
120,Triết học Mác-Lênin,LLCT130105,5
121,Kinh tế chính trị Mác-Lênin,LLCT120205,5
122,Chủ nghĩa xã hội khoa học,LLCT120405,5
123,Tư tưởng Hồ Chí Minh,LLCT120314,14
124,Lịch sử Đảng Cộng sản Việt Nam,LLCT220514,14
125,Pháp luật đại cương,GELA220405,5
126,Toán kinh tế 1,MATH132701,1
127,Toán kinh tế 2,MATH132801,1
128,Xác suất thống kê ứng dụng,MATH132901,1
129,Nhập môn ngành TMĐT,ECOM130108,8
130,Giáo dục thể chất 1,PHED110513,13
131,Giáo dục thể chất 2,PHED110613,13
132,Giáo dục thể chất 3,PHED130715,15
133,Quản trị học căn bản,FUMA230806,6
134,Kinh tế học,ECON240206,6
135,Nguyên lý kế toán,PRAC230407,7
136,Luật kinh tế,BLAW220308,8
137,Phương pháp nghiên cứu,RMET220406,6
138,Tối ưu hóa,MAOP230706,6
139, Thương mại điện tử,ECOM431308,8
140, Mạng giao tiếp dữ liệu,DNET332208,8
141,Lập trình căn bản Python,FUBY333808,8
142,Tin học văn phòng,MIOF130207,7
143,Cơ sở dữ liệu,DMSY233208,8
144, Phân tích và thiết kế hệ thống,ANDE333408,8
145,Quản trị ngoại thương,FTMA430908,8
146,Quản trị bán hàng,SAMA332008,8
147,Quản trị tài chính,FIMA430807,7
148,Quản trị chuỗi cung ứng,SCMA430706,6
149,Machine learning (máy học),MALE433908,8
150,Thiết kế WEB,WEDE333308,8
151,Phầm mềm ứng dụng (ERP),ERPS431208,8
152,Thanh toán điện tử,EPAY431408,8
153,Bảo mật thương mại điện tử,ECOS431508,8
154,Marketing điện tử,EMAR431108,8
155,Quản trị nguồn nhân lực quốc tế,IHRM232708,8
156,Quản trị chiến lược,STMA430406,6
157,Quản trị chất lượng dịch vụ,SQMA322208,8
158,Ứng dụng phân tích dữ liệu lớn trong kinh doanh (Big Data),ABDA433708,8
159,Chuyên đề thực hành,PRAC321908,8
160,Chuyên đề doanh nghiệp (TMĐT),ESYM223008,8
161,Thực tập tốt nghiệp (TĐT),INTE421608,8
162,Khóa luận tốt nghiệp (TĐT),ECGR451708,8
163,Kế hoạch kinh doanh,BPLA420606,6
164,Kỹ năng thuyết trình,PRSK320705,5
165,Kế hoạch khởi nghiệp,BPLA121808,8
166,Giao tiếp trong kinh doanh,BCOM320106,6
167,Hành vi tổ chức,ORBE320106,6
168,Thị trường chứng khoán,SEMA320907,7
169,Quản trị quan hệ khách hàng,CUSM321006,6
170,Thanh toán quốc tế,INPA421008,8
171,Tâm lý học kinh doanh,PSBU220408,8
172,Kinh doanh quốc tế,INBU220508,8
173,Mua hàng,PROC320109,9
174,Quản trị kho bãi,DEMA431609,9
175,Kỹ thuật xếp dỡ và đóng gói,LOPA431409,9
176,Hệ thống thông tin quản lý (MIS),MAIS430306,6
177,Lập trình hướng đối tượng,ORPR333508,8
178,Bảo mật cơ sở dữ liệu,DSEC433608,8
179,Chính sách thuế,TAPO330407,7
180,Anh văn thương mại,BENG330708,8
181,Quản trị dự án công nghiệp,PROM430506,6
182,Quản trị vận tải,TMAN431509,9
183,Pháp luật đại cương,GELA220405,5
184,Anh văn 1,ENGL130137,37
185,Anh văn 2,ENGL230237,37
186,Anh văn 3,ENGL330337,37
187,Anh văn 4,ENGL430437,37
188,Toán 1,MATH132401,1
189,Toán 2,MATH132501,1
190,Đại số và cấu trúc đại số,MATH143001,1
191,Vật lý 1,PHYS130902,2
192,Thí nghiệm vật lý  1,PHYS111202,2
193,Điện tử căn bản,EEEN234162,62
194,Thực tập điện tử căn bản,PRBE214262,62
195,Nhập môn ngành ATTT,INIT130185,85
196,Nhập môn lập trình,INPR130285,85
197,Kỹ thuật lập trình,PRTE230385,85
198,Giáo dục quốc phòng,GDQP008031,31
199,Toán rời rạc và lý thuyết đồ thị,DIGR230485,85
200,Cấu trúc dữ liệu và giải thuật,DASA230179,79
201,Lập trình hướng đối tượng,OOPR230279,79
202,Kiến trúc máy tính và hợp ngữ,CAAL230180,80
203,Hệ điều hành,OPSY330280,80
204,Mạng máy tính căn bản,NEES330380,80
205,Cơ sở dữ liệu,DBSY230184,84
206,Học máy,MALE431984,84
207,Lập trình Web,WEPR330479,79
208,Lập trình Python (CĐ),IPPA233277,77
209,An toàn thông tin ,INSE330380,80
210,Lập trình di động,MOPR331279,79
211,Lập trình mạng,NPRO430980,80
212,Mật mã ứng dụng,CRYP331980,80
213,Tấn công mạng và phòng thủ,ETHA332080,80
214,An ninh Mạng ,NSEC430880,80
215,Lập trình hệ thống,SYPR432780,80
216,Mạng máy tính nâng cao,ADNT330580,80
217,Thiết kế mạng,CNDE430780,80
218,An toàn ứng dụng web,WASE432680,80
219,Hệ thống giám sát an toàn mạng,NSMS432280,80
220,An toàn mạng không dây và di động,WISE432380,80
221,Pháp lý kỹ thuật số,DIFO432180,80
222,Tiểu luận chuyên ngành ATTT ,POIS431479,79
223,Chuyên đề doanh nghiệp,INTE202879,79
224,Thực tập Tốt Nghiệp (ATTT),ITIN441085,85
225,Lãnh đạo và kinh doanh trong kỹ thuật,LEBU202979,79
226,Khóa luận tốt nghiệp,GRPR474377,77
227,Kinh tế học đại cương,GEFC220105,5
228,Nhập môn quản trị chất lượng,IQMA220205,5
229,Nhập môn Quản trị học,INMA220305,5
230,Nhập môn Logic học ,INLO220405,5
231,Cơ sở văn hoá Việt Nam,IVNC320905,5
232,Nhập môn Xã hội học,INSO321005,5
233,Tâm lý học kỹ sư,ENPS220591,91
234,Tư duy hệ thống,SYTH220491,91
235,Kỹ năng học tập đại học,LESK120190,90
236,Kỹ năng xây dựng kế hoạch,PLSK120290,90
237,Kỹ năng làm việc trong môi trường KT,WOPS120390,90
238,Phương pháp nghiên cứu khoa học,REME320690,90
239,Quản trị trên môi trường cloud,CLAD432480,80
240,Công nghệ Internet of Things và bảo mật,IOTS431780,80
241,Phân tích mã độc,ANMA432880,80
242,Hệ thống nhúng,ESYS431080,80
243,Nhập môn ngành Logistics,LOSU130109,9
244,Toán kinh tế 1,MATH130801,1
245,Toán kinh tế 2,MATH130901,1
246,Xác suất thống kê ứng dụng,MATH130401,1
247,Phương pháp nghiên cứu,RMET220306,6
248,Phân tích dữ liệu,DANA230606,6
249,Giao tiếp trong kinh doanh,BCOM321906,6
250,Hệ thống CIM,CIMS330709,9
251,Pháp luật về Logistics,TLAW322209,9
252,Bảo hiểm hàng hóa,CAIN320209,9
253,Marketing Căn bản,BAMA231209,9
254,Quản trị Logistics,LOMA322509,9
255,Mua hàng,PROC330109,9
256,Quản trị chuỗi cung ứng,SCMA430709,9
257,Khai báo Hải quan,CUST432109,9
258,Nghiệp vụ ngoại thương,FTRO432109,9
259,Quản trị vận hành,OPMA431909,9
260,Marketing dịch vụ,SERM332009,9
261,Hàng hóa trong Logistics,CALO432309,9
262,Chuyên đề thực hành,PRAT421809,9
263,Chuyên đề hội nhập doanh nghiệp ngành Logistics,SSEN321809,9
264,Thực tập tốt nghiệp,INTE421109,9
265,Khóa luận tốt nghiệp/Thi TN,LSCM451409,9
266,Lịch sử các học thuyết kinh tế,ETHE221506,6
267,Văn hóa doanh nghiệp,BCUL320506,6
268,Lập và phân tích dự án,PRAN321106,6
269,Tin học ứng dụng,APCM230307,7
270,Quản trị chiến lược Logistics,LSTR322109,9
271,Kế toán quản trị,MAAC430507,7
272,Nhập môn ngành Kế toán,INAC130107,7
273,Phương pháp nghiên cứu,RMET230306,6
274,Tin học ứng dụng,APCM220307,7
275,Luật kinh tế,BLAW230308,8
276,Quản trị Marketing,MAMA331706,6
277,Chuyên đề thực hành (Kiến tập),PRAC420607,7
278,Chuyên đề doanh nghiệp ngành kế toán,SSEN321807,7
279,Kế toán chi phí,COAC331607,7
280,Kế toán quản trị,MAAC440507,7
281,Kế toán quốc tế,INAC331007,7
282,Kế toán tài chính 1,FIAC330207,7
283,Kế toán tài chính 2,FIAC330907,7
284,Lập báo cáo tài chính,FIAC430807,7
285,Kế toán tài chính nâng cao,ADFA431807,7
286,Kiểm toán 1,AUDI430207,7
287,Kiểm toán 2,ADAU430907,7
288,Phần mềm kế toán,ACSO430407,7
289,Phân tích hoạt động kinh doanh,BUAN331107,7
290,Nghiệp vụ ngân hàng thương mại,COBA330507,7
291,Tài chính doanh nghiệp 1,COFI330307,7
292,Tài chính doanh nghiệp 2,ADCF430307,7
293,Thực tập tốt nghiệp,INTE421007,7
294,Khóa luận tốt nghiệp,GRAT452107,7
295,Đầu tư quốc tế,ININ220608,8
296,Thị trường chứng khoán,SEMA430807,7
297,Anh văn chuyên ngành KT (Business English),ACBU331507,7
298,Kế toán hành chính sự nghiệp,APAC330607,7
299,Kế toán ngân hàng,BAAC331407,7
300,Lập sổ sách kế toán trên Access,REAC321307,7
301,Lập sổ sách kế toán trên Excel,REEX321207,7
302,Quản trị sản xuất,PRMA330806,6
303,Lập và phân tích dự án,PRAN331106,6
304,Quản trị marketing,MAMA31706,6
305,Nhập môn ngành Quản lý CN,INMA130106,6
306,Vẽ kỹ thuật,TEDG130120,20
307,Thống kê trong kinh doanh ,BSTA231006,6
308,Phân tích dữ liệu,DANA230706,6
309,Quản trị sản xuất 2,PRMA331506,6
310,Thực hành Quản trị sản xuất,PRMP330806,6
311,Sản xuất tinh gọn,LEAN420806,6
312,Quản trị chất lượng,QMAN331606,6
313,6 Sigma căn bản,SSFU420906,6
314,Quản lý bảo trì công nghiệp,MAIM330406,6
315,Quản trị nguồn nhân lực,HRMA331206,6
316,An toàn lao động và môi trường công nghiệp,WSIE320425,25
317,Văn hóa doanh nghiệp,BCUL330506,6
318,Hành vi tổ chức,ORBE330306,6
319,Quản trị marketing,MAMA330906,6
320,Kế hoạch kinh doanh,BPLA430606,6
321,Chuyên đề doanh nghiệp (QLCN),ENPR221106,6
322,Thực tập tốt nghiệp,INTE421106,6
323,Khóa luận tốt nghiệp,IMGR461206,6
324,Đồ hoạ kỹ thuật trên máy tính (CAD)Auto Cad căn bản,CADM230320,20
325,Tự động hóa quá trình sản xuất,AMAP432225,25
326,Kỹ thuật điện,ELEN232044,44
327,Thiết kế WEB,WEDE330484,84
328,Quản trị công nghệ,TEMA331406,6
329,Kế toán quản trị,MAAC331307,7
330,Cơ khí đại cương,GMEN134025,25
331,Kỹ thuật số,DITE334029,29
332,Toán 3,MATH132601,1
333,Toán ứng dụng trong cơ khí,AMME131529,29
334,Tin học trong kỹ thuật,COPR134529,29
335,Cơ kỹ thuật,ENME130620,20
336,Hóa đại cương,GCHE130603,3
337,Vật lý 2,PHYS131002,2
338,Thí nghiệm vật liệu học,MATE210330,30
339,Anh văn chuyên ngành cơ khí,ENME320124,24
340,Đồ án Công nghệ chế tạo máy,PMMT113625,25
341,Chuyên đề Doanh nghiệp (CNKTCK),SEMI322824,24
342,"Thiết kế, chế tạo khuôn mẫu",MOLD331224,24
343,CAD/CAM-CNC nâng cao,ACCC330525,25
344,Tự động hoá quá trình sản xuất (CKM),AUMP323525,25
345,TN Tự động hoá quá trình sản xuất (CKM),EMPA313625,25
346,Công nghệ thủy lực và khí nén,PNHY230529,29
347,TN Công nghệ thuỷ lực và khí nén,EPHT310629,29
348,"Thực tập thiết kế, chế tạo khuôn mẫu",PMDM321324,24
349,Thực tập Công nghệ nhựa,PLAP322224,24
350,Thực tập CAD/CAM-CNC nâng cao,PACC320624,24
351,Khóa luận tốt nghiệp,GRAT472424,24
352,Chuyên đề tốt nghiệp 1 (CNKTCK),STOG432524,24
353,Chuyên đề tốt nghiệp 2 (CNKTCK),STOG422624,24
354,Chuyên đề tốt nghiệp 3 (CNKTCK),STOG422724,24
355,Viết tài liệu kỹ thuật dành cho kỹ sư,TEWR123525,25
356,Kinh tế học đại cương (Ngành ngoài k.tế),GEEC220105,5
357,Dao động kỹ thuật,MEVI220820,20
358,Cơ học lưu chất ứng dụng (CKM),FLUI220132,32
359,Tối ưu hóa trong kỹ thuật,OPTE322925,25
360,Trí tuệ nhân tạo,AIAP324029,29
361,Thiết kế kỹ thuật cơ bản,BAED133925,25
362,Kỹ thuật nhiệt,THER222932,32
363,Quản trị sản xuất và chất lượng,MQMA331326,26
364,Thiết kế sản phẩm công nghiệp,DEIP331225,25
365,Kỹ thuật Robot,ROBO331129,29
366,Ứng dụng CAE trong thiết kế,CAED321024,24
367,Thí nghiệm CAE,ECAE311124,24
368,Mô hình hóa và phân tích hệ thống cơ khí,MAMS333625,25
369,Hệ thống truyền động servo,SERV334029,29
370,Công nghệ nano,NATE322625,25
371,Phương pháp Phần tử hữu hạn - Căn bản,IFEM230220,20
372,Công nghệ tạo mẫu nhanh & Thiết kế ngược,RAPT330724,24
373,Thí nghiệm Công nghệ tạo mẫu nhanh & Thiết kế ngược,ERED314125,25
374,Các phương pháp gia công đặc biệt,NTMP320725,25
375,Thí nghiệm đo lường nâng cao,AEMM214025,25
376,Điều khiển tự động,AUCO330329,29
377,Thí nghiệm Bảo trì và bảo dưỡng công nghiệp,EIMA310625,25
378,Quản trị sản xuất theo Lean và JIT,LJIT321126,26
379,Cảm biến và cơ cấu chấp hành,ENMA225929,29
380,Bảo trì và bảo dưỡng công nghiệp,IMAS320525,25
381,Năng lượng và quản lý năng lượng,ERMA321025,25
382,Trang bị điện - Điện tử trong máy công nghiệp,EEEI321925,25
383,Nhập môn Kỹ thuật Cơ khí,INME130125,25
384,Thí nghiệm vật lý 1,PHYS111202,2
385,Vẽ kỹ thuật cơ khí,MEDR141123,23
386,Vẽ kỹ thuật cơ khí nâng cao,AMDR221223,23
387,Sức bền vật liệu (Cơ khí),MEMA230720,20
388,Nguyên lý - Chi tiết máy ,MMCD230323,23
389,Đồ án Thiết kế máy,MDPR310423,23
390,Dung sai - Kỹ thuật đo,TOMT220225,25
391,Thí nghiệm đo lường cơ khí,EXMM210325,25
392,Vật liệu học,ENMA220230,30
393,Cơ sở công nghệ chế tạo máy,FMMT330825,25
394,Công nghệ kim loại,METE224230,30
395,TN Công nghệ thuỷ lực và khí nén,EPHT210629,29
396,Máy và hệ thống điều khiển số,MTNC330925,25
397,Công nghệ chế tạo máy,MMAT344225,25
398,Đồ án Công nghệ chế tạo máy,PMMT311625,25
399,TN Trang bị điện - Điện tử trong máy công nghiệp,ELDR312025,25
400,Công nghệ CAD/CAM-CNC,CCCT331725,25
401,Chuyên đề Doanh nghiệp (CNCTM),SEMI323525,25
402,"Thiết kế, chế tạo khuôn mẫu",MOLD331225,25
403,Thực tập nguội,MHAP110127,27
404,Thực tập Kỹ thuật Hàn,WEPR210430,30
405,Thực tập Cơ khí 1,MEPR240227,27
406,Thực tập Cơ khí 2,MEPR330327,27
407,Thực tập CNC,PCNC322125,25
408,Thực tập Công nghệ CAD/CAM-CNC,PCCC321825,25
409,Thực tập Tốt nghiệp (CNCTM),FAIN443825,25
410,Khóa luận tốt nghiệp (CNCTM),GRAT473125,25
411,Chuyên đề tốt nghiệp 1 (CNCTM),STOG433225,25
412,Chuyên đề tốt nghiệp 2 (CNCTM),STOG423325,25
413,Chuyên đề tốt nghiệp 3 (CNCTM),STOG423425,25
414,Các phương pháp đo lường cơ khí hiện đại,MMMM323725,25
415,Trí tuệ nhân tạo,ARIN337629,29
416,Thí nghiệm Công nghệ tạo mẫu nhanh & Thiết kế ngược,ERED314124,24
417,Lập trình ứng dụng trong kỹ thuật,COPR231329,29
418,Cảm biến và cơ cấu chấp hành,SEAC225929,29
419,Nhập môn Công nghệ Kỹ thuật Cơ Điện Tử,INME130129,29
420,Đồ án Truyền động cơ khí,MDDP310523,23
421,Điều khiển tự động,AUCO230329,29
422,Kỹ thuật điện – điện tử,EEEN230129,29
423,Kỹ thuật số,DITE226829,29
424,Kỹ thuật gia công vật liệu,MAPE230430,30
425,Tự động hóa quá trình sản xuất,MPAU220729,29
426,Điều khiển quá trình,PCTR421929,29
427,Vi xử lý,MICO236929,29
428,Đồ án Cơ điện tử,PRME315129,29
429,Điện tử công suất,POEL326729,29
430,Chuyên đề doanh nghiệp,SEMI325929,29
431,Thực tập Cơ khí cơ bản,BMPR230527,27
432,Thực tập tự động hóa,PMPA326629,29
433,Thực tập cảm biến và robot,PSEA311429,29
434,Thực tập kỹ thuật điều khiển tự động,PACT310429,29
435,Thực tập thiết kế mạch,PEEE210229,29
436,Thực tập Vi xử lý,PDTM311029,29
437,Thực tập Servo,PESD314129,29
438,Thực tập tốt nghiệp (CĐT),FAIN442029,29
439,Đồ án tốt nghiệp,UGRA475529,29
440,Mỹ thuật Công nghiệp,AEST220224,24
441,Kỹ thuật vẽ phác,SCDR130324,24
442,Hệ thống SCADA,SCDA331629,29
443,Thị giác máy,MAVI332529,29
444,Xử lý tín hiệu số,DIPR337529,29
445,Hệ thống nhúng,EMSY337329,29
446,IoT trong lĩnh vực Cơ điện tử,IoTM337629,29
447,Ứng dụng CAE trong thiết kế,CAED321024,24
448,Nhập môn dữ liệu lớn (Big Data Essentials),BDES333877,77
449,Calculus I,MATH132401E,1
450,Calculus II,MATH132501E,1
451,Calculus III,MATH132601E,1
452,Mathematical Statistics for Engineers,MATH132901E,1
453,Applied Mathematics in Engineering,AMME131529E,29
454,Physics 1,PHYS130902E,2
455,Physics 2,PHYS131002E,2
456,Physics - Laboratory 1,PHYS111202E,2
457,General Chemistry for Engineers,GCHE130603E,3
458,Introduction to Robotics and Artificial Intelligence Engineering,INME130229E,29
459,Computer Programming 1,COPR134529E,29
460,Digital Techniques,DITE226829E,29
461,Mechanical engineering drawing,MEDR141123E,23
462,Engineering Mechanics,ENME130620E,20
463,Mechanics of materials (mechanical engineering),MEMA230720E,20
464,Mechanisms and machine components design,MMCD230323E,23
465,Microcontroller,MICO336929E,29
466,Sensors and Actuators,ENMA225929E,29
467,Automatic Control,AUCO330329E,29
468,Computer Programming 2,COPR231329E,29
469,Electrical and Electronics Engineering,EEEN230129E,29
470,Optimal Design of Robots,OPDE330120E,20
471,Big Data,BIDA330729E,29
472,"Human Robot Interaction, VR and VA",HROI330829E,29
473,Visual Geometry and Vision Machine,MAVI332529E,29
474,Artificial intelligence,ARIN331029E,29
