ID_GiaoTrinh,Ten_GT
43,"Commerce 1:Oxfoxd English for careersent : Student's book/Martyn Hobb, Julia Starr Keddle"
44,"Intelligent business coursebook :Intermediate business English/Tonya Trappe, Graham Tullis"
45,Business Matters
46,Communicative Grammar Practice
47,Let’s talk
48,Managing Cultural Differences
49,Kỹ năng giao tiếp và thương lượng trong kinh doanh/Thái Trí Dũng
50,Giáo trình vận tải và bảo hiểm trong ngoại thương/Trịnh Thị Thu Hương
51,Gard Guidance on Maritime Claims and Insurance
52,Business Communication for Success
53,Bảo hiểm và giám định hàng hóa xuất nhập khẩu vận chuyên bằng đường biển/Đỗ Hữu Vinh
54,Marine Cargo Insurance Clauses
55,Cẩm Nang Kinh Doanh – Giao Tiếp Thuơng Mại
56,English Marine Insurance Act. 1906
57,Kỹ năng giao tiếp và thương lượng trong kinh doanh/Thái Trí Dũng
58,Kỹ năng thương lượng =Negotiation:Cẩm nang kinh doanh
59,Business Communication: Polishing Your Professional Presence 
60,Cẩm Nang Kinh Doanh – Giao Tiếp Thuơng Mại
61,Kỹ năng thương lượng =Negotiation:Cẩm nang kinh doanh
62,Hành vi tổ chức
63,Hành vi tổ chức
64,Giáo trình Hành vi tổ chức
65,Giáo trình Hành vi tổ chức
66,"Computer intergrated manufacturing/Rehg, Kraebber"
67,Giáo trình hệ thống CIM
68,Tài liệu học tập Thí nghiệm CIM
69,"Automation, production systems and computer intergrated manufacturing/Mikell, P. Groover"
70,Hệ thống thông tin quản lý/Nguyễn Thanh Hùng
71,"Hệ thống thông tin quản lý :Bài giảng/Phạm Thị Thanh Hồng, Phạm Minh Tuấn"
72,"Management information systems:Managing the digital firm/Kenneth C. Laudon, Jane P. Laudon"
73,The Corporate Culture Survival Guide/Edgar H. S.
74,Văn hóa doanh nghiệp/Đỗ Thị Phi Hoài
75,Đạo đức kinh doanh và văn hóa công ty:Phương pháp môn học và phân tích tình huống/Nguyễn Mạnh Quân
76,Doanh nhân và Văn hóa kinh doanh/Nguyễn Quang Vinh
77,Tối ưu hóa tuyến tính:Bài giảng và bài tập/Nguyễn Thành Cả
78,Tối ưu hóa ứng dụng:Lý thuyết - bài tập - bài giải/Pham Trí Cao
79,Giáo trình Quy hoạch toán học/Ngô Hữu Tâm
80,"Introduction to Operations Research, 7th Ed/Frederick S.Hillier, Gerald J.Lieberman"
81,"Microsoft Office Professional 2013 Step By Step/Beth Melton, Mark Dodge, Echo Swinford, Andrew Couch, Eric Legault, Ben M. Schorr, Ciprian Adrian Rusen"
82,"Giáo trình Thương mại điện tử/Nguyễn Văn Hồng, Nguyễn Văn Thoan"
83,"E-commerce:Business, technology, society/Kenneth C. Laudon, Carol Guercio Traver"
84,"Management information systems:Managing the digital firm/Kenneth C. Laudon, Jane P. Laudon"
85,Introduction to Electronic Commerce/Efraim Turban et al.
86,Entrepreneurship: The Practice and Mindset
87,Thị trường chứng khoán /Bùi Kim Yến
88,Nhập môn logic học/Phạm Đình Nghiệm
89,"Câu hỏi trắc nghiệm và bài tập thị trường chứng khoán/Vòng Thình Nam, Võ Thị Xuân Hạnh"
90,"Entrepreneurship: Theory, Process, and Practice"
91,"Phân tích và đầu tư chứng khoán:Soạn theo chương trình mới của UBCKNN - Lý thuyết cô đọng. Bài tập phong phú. Lời giải chi tiết/Bùi Kim Yến, Thân Thị Thu Thủy (ch.b.); Trần Phương Thảo, Phan Thu Hiền,..."
92,Entrepreneurship
93,Bài tập và bài giải phân tích và đầu tư chứng khoán/Bùi Kim Yến
94,Luật chứng khoán
95,Bài giảng của giảng viên dành cho môn học Tâm lý học kinh doanh
96,Kinh doanh quốc tế hiện đại
97,Giáo trình vận tải và giao nhận trong ngoại thương/Nguyễn Như Tiến
98,"Transportation : A global supply chain perspective / John J. Coyle, Robert A. Novack, Brian J. Gibson"
99,Giáo trình vận tải và bảo hiểm trong ngoại thương/Trịnh Thị Thu Hương
100,Tranh chấp và giải quyết tranh chấp phát sinh từ hợp đồng thuê tàu chuyến/Nguyễn Như Tiến
101,Hướng dẫn sử dụng vận đơn đường biển trong thương mại và hàng hải quốc tế/Nguyễn Như Tiến
102,"International business: Competing in the global marketplace/ Charles W. L. Hill, G. Tomas M. Hult"
103,"Các công ước quốc tế về vận tải và hàng hải/Hoàng Văn Châu, Trịnh Thị Thu Hương (dịch)	"
104,"Quản trị vận hành hiện đại (Quản trị sản xuất và dịch vụ) : Lý thuyết và tình huống thực hành ứng dụng của các công ty Việt Nam / Đặng Minh Trang, Lưu Đan Thọ"
105,"Bài tập và bài giải quản trị vận hành hiện đại (Quản trị sản xuất và dịch vụ) : Tình huống thực hành ứng dụng của các công ty Việt Nam / Đặng Minh Trang, Lưu Đan Thọ"
106,"Quản trị kinh doanh quốc tế:Bối cảnh toàn cầu hóa lý thuyết & khảo cứu tình huống hiện đại (Dành cho sinh viên, nhà quản lý công ty)/Nguyễn Văn Dung"
107,"Giáo trình quản trị tài chính công ty / Nguyễn Quốc Khánh, Đàng Quang Vắng"
108,"Financial Management: Theory & Practice 15th Edition/Eugene F. Brigham, Michael C. Ehrhardt"
109,"Quản trị tài chính công ty hiện đại/Trần Ngọc Thơ, Nguyễn Thị Ngọc Trang, Phan Thị Bích Nguyệt, Nguyễn Thị Liên Hoa, Nguyễn Thị Uyên Uyên"
110,Quản trị kinh doanh quốc tế
111,"Lý thuyết tài chính tiền tệ/Dương Thị Bình Minh, Sử Đình Thành"
112,"Quản trị tài chính công ty: Hệ thống câu hỏi trắc nghiệm, bài tập và đáp án/Vũ Duy Hào, Lưu Thị Hương"
113,Quản trị quan hệ khách hàng =Customer relationshipn management - CRM/Trương Đình Chiến
114,Quản lý quan hệ khách hàng = Customer relationship management/Nguyễn Văn Dung
