"ID_Mon","ID_GiaoTrinh"
"120","4388"
"120","4859"
"120","4860"
"121","4394"
"121","4397"
"121","4398"
"121","4399"
"121","4401"
"121","4402"
"121","4403"
"122","4393"
"122","4415"
"122","4416"
"122","4417"
"123","4407"
"123","4409"
"123","4410"
"123","4411"
"123","4412"
"123","4413"
"123","4414"
"124","4418"
"124","4419"
"124","4420"
"125","4944"
"125","4947"
"125","4948"
"125","4952"
"126","244"
"126","3186"
"127","3190"
"127","3191"
"128","3194"
"128","3196"
"130","1182"
"131","1184"
"132","1193"
"132","1196"
"132","1198"
"132","1199"
"132","1202"
"132","1206"
"133","129"
"133","130"
"133","132"
"133","4710"
"133","4711"
"133","4838"
"134","119"
"134","120"
"134","121"
"134","122"
"134","123"
"134","128"
"134","131"
"134","133"
"135","140"
"135","142"
"135","155"
"135","763"
"135","3894"
"135","3962"
"135","4761"
"135","4762"
"135","4764"
"136","256"
"136","258"
"136","260"
"136","261"
"136","262"
"136","263"
"136","264"
"136","266"
"137","149"
"137","151"
"137","3970"
"137","4813"
"137","4815"
"137","4817"
"138","77"
"138","78"
"138","79"
"138","80"
"138","4752"
"139","82"
"139","83"
"139","85"
"139","814"
"139","818"
"139","1656"
"141","335"
"141","336"
"141","337"
"141","338"
"141","339"
"141","340"
"141","341"
"141","342"
"141","346"
"141","348"
"142","211"
"143","232"
"143","235"
"143","238"
"144","274"
"144","275"
"144","276"
"144","278"
"145","287"
"145","289"
"145","290"
"145","291"
"145","4694"
"145","4695"
"145","4698"
"145","4700"
"145","4702"
"145","4704"
"146","281"
"146","284"
"147","107"
"147","108"
"147","109"
"147","111"
"147","112"
"147","4692"
"147","4901"
"148","163"
"148","168"
"148","169"
"148","171"
"148","4824"
"148","4827"
"148","4830"
"148","4833"
"150","321"
"150","322"
"150","324"
"152","319"
"153","219"
"153","222"
"153","224"
"154","268"
"154","270"
"154","272"
"155","174"
"155","177"
"155","180"
"155","182"
"155","183"
"155","4072"
"156","309"
"156","310"
"156","4836"
"157","288"
"157","292"
"157","293"
"157","297"
"157","299"
"157","303"
"157","305"
"157","308"
"157","311"
"158","327"
"158","329"
"158","330"
"158","332"
"158","334"
"160","5790"
"163","245"
"163","246"
"163","248"
"164","216"
"165","86"
"165","90"
"165","92"
"165","4666"
"165","4667"
"165","4669"
"166","49"
"166","52"
"166","55"
"166","58"
"166","59"
"166","3934"
"166","4661"
"166","4663"
"167","62"
"167","63"
"167","64"
"167","65"
"167","4153"
"167","4911"
"167","4912"
"168","87"
"168","89"
"168","91"
"168","93"
"168","94"
"169","113"
"169","114"
"170","188"
"170","190"
"170","198"
"170","199"
"170","200"
"170","201"
"170","4187"
"171","95"
"171","317"
"172","96"
"172","102"
"172","106"
"172","110"
"173","3949"
"173","3954"
"174","124"
"174","125"
"174","126"
"174","127"
"175","192"
"175","193"
"175","194"
"175","195"
"175","196"
"175","4904"
"176","70"
"176","71"
"176","72"
"176","84"
"176","3935"
"177","1404"
"177","1629"
"177","1630"
"177","1631"
"177","1632"
"178","1681"
"178","1682"
"179","197"
"179","228"
"179","229"
"179","231"
"179","3920"
"179","3923"
"180","43"
"180","44"
"180","45"
"180","46"
"180","47"
"180","48"
"180","3913"
"180","3915"
"181","298"
"181","300"
"181","301"
"181","302"
"181","2576"
"181","2577"
"181","4798"
"181","4804"
"182","97"
"182","98"
"182","99"
"182","100"
"182","101"
"182","103"
"182","3984"
"182","3987"
"188","1173"
"188","3180"
"188","4541"
"189","1174"
"189","3181"
"190","3163"
"190","3165"
"190","3168"
"191","1113"
"191","1117"
"191","1120"
"191","1123"
"191","1125"
"191","1128"
"191","1133"
"191","1135"
"191","4371"
"191","4569"
"194","671"
"194","674"
"194","676"
"194","678"
"194","681"
"196","1402"
"196","1403"
"196","1405"
"196","1408"
"196","1409"
"196","1767"
"196","1768"
"196","1769"
"196","4637"
"196","4639"
"197","1417"
"197","1773"
"197","1774"
"197","1775"
"197","1776"
"197","4644"
"197","4645"
"197","4646"
"197","4648"
"199","1395"
"199","1399"
"199","1400"
"199","1401"
