"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"120","Triết học Mác-Lênin","LLCT130105",NULL,NULL,NULL,NULL,NULL
"121","Kinh tế chính trị Mác-Lênin","LLCT120205",NULL,NULL,NULL,NULL,NULL
"122","Chủ nghĩa xã hội khoa học","LLCT120405",NULL,NULL,NULL,NULL,NULL
"123","Tư tưởng Hồ Chí Minh","LLCT120314",NULL,NULL,NULL,NULL,NULL
"124","Lịch sử Đảng Cộng sản Việt Nam","LLCT220514",NULL,NULL,NULL,NULL,NULL
"125","Pháp luật đại cương","GELA220405",NULL,NULL,NULL,NULL,NULL
"126","Toán kinh tế 1","MATH132701",NULL,NULL,NULL,NULL,NULL
"127","Toán kinh tế 2","MATH132801",NULL,NULL,NULL,NULL,NULL
"128","Xác suất thống kê ứng dụng","MATH132901",NULL,NULL,NULL,NULL,NULL
"129","Nhập môn ngành TMĐT","ECOM130108",NULL,NULL,NULL,NULL,NULL
"130","Giáo dục thể chất 1","PHED110513",NULL,NULL,NULL,NULL,NULL
"131","Giáo dục thể chất 2","PHED110613",NULL,NULL,NULL,NULL,NULL
"132","Giáo dục thể chất 3","PHED130715",NULL,NULL,NULL,NULL,NULL
"133","Quản trị học căn bản","FUMA230806",NULL,NULL,NULL,NULL,NULL
"134","Kinh tế học","ECON240206",NULL,NULL,NULL,NULL,NULL
"135","Nguyên lý kế toán","PRAC230407",NULL,NULL,NULL,NULL,NULL
"136","Luật kinh tế","BLAW220308",NULL,NULL,NULL,NULL,NULL
"137","Phương pháp nghiên cứu","RMET220406",NULL,NULL,NULL,NULL,NULL
"138","Tối ưu hóa","MAOP230706",NULL,NULL,NULL,NULL,NULL
"139"," Thương mại điện tử","ECOM431308",NULL,NULL,NULL,NULL,NULL
"140"," Mạng giao tiếp dữ liệu","DNET332208",NULL,NULL,NULL,NULL,NULL
"141","Lập trình căn bản Python","FUBY333808",NULL,NULL,NULL,NULL,NULL
"142","Tin học văn phòng","MIOF130207",NULL,NULL,NULL,NULL,NULL
