ID_GiaoTrinh,Ten_GT,Info,NXB,NamXB,ID_LoaiGT,SoLuong,ID_Nguon,ID_User_CapNhat,TinhTrang_DS,Link_TVS,Link_Dspace
43,"Commerce 1:Oxfoxd English for careersent : Student's book/Martyn Hobb, Julia Starr Keddle",Dewey Class no. :428H682-----Call no. :428222; ----- Mô tả: 135 p.;30cm,New York:Oxford University Pres,2006,1,120,2,3,,,abc
44,"Intelligent business coursebook :Intermediate business English/Tonya Trappe, Graham Tullis",Dewey Class no. :428T774-----Call no. :428222; ----- Mô tả: 176tr.;30cm,England :Pearson Education Limited,2005,1,120,2,3,,,NULL
45,Business Matters,Business Matters/ Mark Powell,Commercial Colour Press Plc,,1,0,2,3,,,NULL
46,Communicative Grammar Practice,Communicative Grammar Practice/ Leo Jones,Commercial Colour Press Plc,,2,0,2,3,,,NULL
47,Let’s talk,Let’s talk/ Leo Jones,Cambridge University Press,,2,0,2,3,,,NULL
48,Managing Cultural Differences,Managing Cultural Differences/ Lisa Hoecklin,Addison-Wesley,,2,0,2,3,,,NULL
49,Kỹ năng giao tiếp và thương lượng trong kinh doanh/Thái Trí Dũng,Dewey Class no. :658.45T364-D916-----Call no. :658.45222; ----- Mô tả: 307tr.;21cm,H.:Lao động - Xã hội,2012,1,5,2,3,,,NULL
50,Giáo trình vận tải và bảo hiểm trong ngoại thương/Trịnh Thị Thu Hương,Dewey Class no. :368.2T833-H957-----Call no. :368.2222; ----- Mô tả: 387tr.;24cm,H.:Thông tin và Truyền thông,2011,1,3,1,3,,,NULL
51,Gard Guidance on Maritime Claims and Insurance,,,,1,0,1,3,,,NULL
52,Business Communication for Success,Business Communication for Success/ Scott McLean,University of Minnesota Libraries Publishing,2012,1,0,2,3,,,NULL
53,Bảo hiểm và giám định hàng hóa xuất nhập khẩu vận chuyên bằng đường biển/Đỗ Hữu Vinh,Dewey Class no. :368.22Đ631-V784-----Call no. :368.22222; ----- Mô tả: 426tr.;24cm,H.:Giao thông vận tải,2009,1,2,2,3,,,NULL
54,Marine Cargo Insurance Clauses,,,,1,0,2,3,,,NULL
55,Cẩm Nang Kinh Doanh – Giao Tiếp Thuơng Mại,Cẩm Nang Kinh Doanh – Giao Tiếp Thuơng Mại/ Nhóm First New biên dịch ,"Havard Business Essential, Nhà xuất bản Tổng Hợp TP HCM",,2,0,2,3,,,NULL
56,English Marine Insurance Act. 1906,,,,2,0,2,3,,,NULL
57,Kỹ năng giao tiếp và thương lượng trong kinh doanh/Thái Trí Dũng,Dewey Class no. :658.45T364-D916-----Call no. :658.45222; ----- Mô tả: 307tr.;21cm,H.:Lao động - Xã hội,2012,1,5,2,3,,,NULL
58,Kỹ năng thương lượng =Negotiation:Cẩm nang kinh doanh,Dewey Class no. :658.4052K99-----Call no. :222658.4052; ----- Mô tả: 183tr.;24cm,Tp.HCM:Tổng hợp,2006,2,2,2,3,,,NULL
59,Business Communication: Polishing Your Professional Presence ,Business Communication: Polishing Your Professional Presence/ Barbara G. Shwom,Pearson,2015,2,0,2,3,,,NULL
60,Cẩm Nang Kinh Doanh – Giao Tiếp Thuơng Mại,First New biên dịch,"Havard Business Essential, Tổng Hợp TP HCM",,2,0,2,3,,,NULL
61,Kỹ năng thương lượng =Negotiation:Cẩm nang kinh doanh,Dewey Class no. :658.4052K99-----Call no. :222658.4052; ----- Mô tả: 183tr.;24cm,Tp.HCM:Tổng hợp,2006,2,2,2,3,,,NULL
62,Hành vi tổ chức,Hành vi tổ chức/ Nguyễn Hữu Lam,Lao động – Xã hội,2011,1,0,2,3,,,NULL
63,Hành vi tổ chức,,Lao động – Xã hội,2011,1,0,2,3,,,NULL
64,Giáo trình Hành vi tổ chức,"Giáo trình Hành vi tổ chức/ Bùi Anh Tuấn, Phạm Thúy Hương.",ĐH Kinh tế Quốc dân,2013,2,0,2,3,,,NULL
65,Giáo trình Hành vi tổ chức,,ĐH Kinh tế Quốc dân,2013,2,0,2,3,,,
66,"Computer intergrated manufacturing/Rehg, Kraebber",,,,1,0,2,3,,,NULL
67,Giáo trình hệ thống CIM,,,,1,0,2,3,,,NULL
68,Tài liệu học tập Thí nghiệm CIM,,,,1,0,2,3,,,NULL
69,"Automation, production systems and computer intergrated manufacturing/Mikell, P. Groover",,Prentice Hall,,2,0,2,3,,,NULL
70,Hệ thống thông tin quản lý/Nguyễn Thanh Hùng,Dewey Class no. :003.3N573-H936-----Call no. :222003.3; ----- Mô tả: 476tr.;24cm.,Tp.Hồ Chí Minh:Đại học Quốc Gia Tp.Hồ Chí Minh,2006,1,30,2,3,,,NULL
71,"Hệ thống thông tin quản lý :Bài giảng/Phạm Thị Thanh Hồng, Phạm Minh Tuấn",Dewey Class no. :003.3P534-H772-----Call no. :003.3222; ----- Mô tả: 223tr.;24cm,Tp.HCM :Đại học Quốc gia Tp.Hồ Chí Minh,2007,2,1,2,3,,,NULL
