"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"120","Triết học Mác-Lênin","LLCT130105",NULL,NULL,NULL,NULL,"05"
"121","Kinh tế chính trị Mác-Lênin","LLCT120205",NULL,NULL,NULL,NULL,"05"
"122","Chủ nghĩa xã hội khoa học","LLCT120405",NULL,NULL,NULL,NULL,"05"
"123","Tư tưởng Hồ Chí Minh","LLCT120314",NULL,NULL,NULL,NULL,"14"
"124","Lịch sử Đảng Cộng sản Việt Nam","LLCT220514",NULL,NULL,NULL,NULL,"14"
"125","Pháp luật đại cương","GELA220405",NULL,NULL,NULL,NULL,"05"
"126","Toán kinh tế 1","MATH132701",NULL,NULL,NULL,NULL,"01"
"127","Toán kinh tế 2","MATH132801",NULL,NULL,NULL,NULL,"01"
"128","Xác suất thống kê ứng dụng","MATH132901",NULL,NULL,NULL,NULL,"01"
"129","Nhập môn ngành TMĐT","ECOM130108",NULL,NULL,NULL,NULL,"08"
"130","Giáo dục thể chất 1","PHED110513",NULL,NULL,NULL,NULL,"13"
"131","Giáo dục thể chất 2","PHED110613",NULL,NULL,NULL,NULL,"13"
"132","Giáo dục thể chất 3","PHED130715",NULL,NULL,NULL,NULL,"15"
"133","Quản trị học căn bản","FUMA230806",NULL,NULL,NULL,NULL,"06"
"134","Kinh tế học","ECON240206",NULL,NULL,NULL,NULL,"06"
"135","Nguyên lý kế toán","PRAC230407",NULL,NULL,NULL,NULL,"07"
"136","Luật kinh tế","BLAW220308",NULL,NULL,NULL,NULL,"08"
"137","Phương pháp nghiên cứu","RMET220406",NULL,NULL,NULL,NULL,"06"
"138","Tối ưu hóa","MAOP230706",NULL,NULL,NULL,NULL,"06"
"139"," Thương mại điện tử","ECOM431308",NULL,NULL,NULL,NULL,"08"
"140"," Mạng giao tiếp dữ liệu","DNET332208",NULL,NULL,NULL,NULL,"08"
"141","Lập trình căn bản Python","FUBY333808",NULL,NULL,NULL,NULL,"08"
"142","Tin học văn phòng","MIOF130207",NULL,NULL,NULL,NULL,"07"
"143","Cơ sở dữ liệu","DMSY233208",NULL,NULL,NULL,NULL,"08"
"144"," Phân tích và thiết kế hệ thống","ANDE333408",NULL,NULL,NULL,NULL,"08"
"145","Quản trị ngoại thương","FTMA430908",NULL,NULL,NULL,NULL,"08"
"146","Quản trị bán hàng","SAMA332008",NULL,NULL,NULL,NULL,"08"
"147","Quản trị tài chính","FIMA430807",NULL,NULL,NULL,NULL,"07"
"148","Quản trị chuỗi cung ứng","SCMA430706",NULL,NULL,NULL,NULL,"06"
"149","Machine learning (máy học)","MALE433908",NULL,NULL,NULL,NULL,"08"
"150","Thiết kế WEB","WEDE333308",NULL,NULL,NULL,NULL,"08"
"151","Phầm mềm ứng dụng (ERP)","ERPS431208",NULL,NULL,NULL,NULL,"08"
"152","Thanh toán điện tử","EPAY431408",NULL,NULL,NULL,NULL,"08"
"153","Bảo mật thương mại điện tử","ECOS431508",NULL,NULL,NULL,NULL,"08"
"154","Marketing điện tử","EMAR431108",NULL,NULL,NULL,NULL,"08"
"155","Quản trị nguồn nhân lực quốc tế","IHRM232708",NULL,NULL,NULL,NULL,"08"
"156","Quản trị chiến lược","STMA430406",NULL,NULL,NULL,NULL,"06"
"157","Quản trị chất lượng dịch vụ","SQMA322208",NULL,NULL,NULL,NULL,"08"
"158","Ứng dụng phân tích dữ liệu lớn trong kinh doanh (Big Data)","ABDA433708",NULL,NULL,NULL,NULL,"08"
"159","Chuyên đề thực hành","PRAC321908",NULL,NULL,NULL,NULL,"08"
"160","Chuyên đề doanh nghiệp (TMĐT)","ESYM223008",NULL,NULL,NULL,NULL,"08"
"161","Thực tập tốt nghiệp (TĐT)","INTE421608",NULL,NULL,NULL,NULL,"08"
"162","Khóa luận tốt nghiệp (TĐT)","ECGR451708",NULL,NULL,NULL,NULL,"08"
"163","Kế hoạch kinh doanh","BPLA420606",NULL,NULL,NULL,NULL,"06"
"164","Kỹ năng thuyết trình","PRSK320705",NULL,NULL,NULL,NULL,"05"
"165","Kế hoạch khởi nghiệp","BPLA121808",NULL,NULL,NULL,NULL,"08"
"166","Giao tiếp trong kinh doanh","BCOM320106",NULL,NULL,NULL,NULL,"06"
"167","Hành vi tổ chức","ORBE320106",NULL,NULL,NULL,NULL,"06"
"168","Thị trường chứng khoán","SEMA320907",NULL,NULL,NULL,NULL,"07"
"169","Quản trị quan hệ khách hàng","CUSM321006",NULL,NULL,NULL,NULL,"06"
"170","Thanh toán quốc tế","INPA421008",NULL,NULL,NULL,NULL,"08"
"171","Tâm lý học kinh doanh","PSBU220408",NULL,NULL,NULL,NULL,"08"
"172","Kinh doanh quốc tế","INBU220508",NULL,NULL,NULL,NULL,"08"
"173","Mua hàng","PROC320109",NULL,NULL,NULL,NULL,"09"
"174","Quản trị kho bãi","DEMA431609",NULL,NULL,NULL,NULL,"09"
"175","Kỹ thuật xếp dỡ và đóng gói","LOPA431409",NULL,NULL,NULL,NULL,"09"
"176","Hệ thống thông tin quản lý (MIS)","MAIS430306",NULL,NULL,NULL,NULL,"06"
"177","Lập trình hướng đối tượng","ORPR333508",NULL,NULL,NULL,NULL,"08"
"178","Bảo mật cơ sở dữ liệu","DSEC433608",NULL,NULL,NULL,NULL,"08"
"179","Chính sách thuế","TAPO330407",NULL,NULL,NULL,NULL,"07"
"180","Anh văn thương mại","BENG330708",NULL,NULL,NULL,NULL,"08"
"181","Quản trị dự án công nghiệp","PROM430506",NULL,NULL,NULL,NULL,"06"
"182","Quản trị vận tải","TMAN431509",NULL,NULL,NULL,NULL,"09"
"183","Pháp luật đại cương","GELA220405",NULL,NULL,NULL,NULL,"05"
"184","Anh văn 1","ENGL130137",NULL,NULL,NULL,NULL,"37"
"185","Anh văn 2","ENGL230237",NULL,NULL,NULL,NULL,"37"
"186","Anh văn 3","ENGL330337",NULL,NULL,NULL,NULL,"37"
"187","Anh văn 4","ENGL430437",NULL,NULL,NULL,NULL,"37"
"188","Toán 1","MATH132401",NULL,NULL,NULL,NULL,"01"
"189","Toán 2","MATH132501",NULL,NULL,NULL,NULL,"01"
"190","Đại số và cấu trúc đại số","MATH143001",NULL,NULL,NULL,NULL,"01"
"191","Vật lý 1","PHYS130902",NULL,NULL,NULL,NULL,"02"
"192","Thí nghiệm vật lý  1","PHYS111202",NULL,NULL,NULL,NULL,"02"
"193","Điện tử căn bản","EEEN234162",NULL,NULL,NULL,NULL,"62"
"194","Thực tập điện tử căn bản","PRBE214262",NULL,NULL,NULL,NULL,"62"
"195","Nhập môn ngành ATTT","INIT130185",NULL,NULL,NULL,NULL,"85"
"196","Nhập môn lập trình","INPR130285",NULL,NULL,NULL,NULL,"85"
"197","Kỹ thuật lập trình","PRTE230385",NULL,NULL,NULL,NULL,"85"
"198","Giáo dục quốc phòng","GDQP008031",NULL,NULL,NULL,NULL,"31"
"199","Toán rời rạc và lý thuyết đồ thị","DIGR230485",NULL,NULL,NULL,NULL,"85"
"200","Cấu trúc dữ liệu và giải thuật","DASA230179",NULL,NULL,NULL,NULL,"79"
"201","Lập trình hướng đối tượng","OOPR230279",NULL,NULL,NULL,NULL,"79"
"202","Kiến trúc máy tính và hợp ngữ","CAAL230180",NULL,NULL,NULL,NULL,"80"
"203","Hệ điều hành","OPSY330280",NULL,NULL,NULL,NULL,"80"
"204","Mạng máy tính căn bản","NEES330380",NULL,NULL,NULL,NULL,"80"
"205","Cơ sở dữ liệu","DBSY230184",NULL,NULL,NULL,NULL,"84"
"206","Học máy","MALE431984",NULL,NULL,NULL,NULL,"84"
"207","Lập trình Web","WEPR330479",NULL,NULL,NULL,NULL,"79"
"208","Lập trình Python (CĐ)","IPPA233277",NULL,NULL,NULL,NULL,"77"
"209","An toàn thông tin ","INSE330380",NULL,NULL,NULL,NULL,"80"
"210","Lập trình di động","MOPR331279",NULL,NULL,NULL,NULL,"79"
"211","Lập trình mạng","NPRO430980",NULL,NULL,NULL,NULL,"80"
"212","Mật mã ứng dụng","CRYP331980",NULL,NULL,NULL,NULL,"80"
"213","Tấn công mạng và phòng thủ","ETHA332080",NULL,NULL,NULL,NULL,"80"
"214","An ninh Mạng ","NSEC430880",NULL,NULL,NULL,NULL,"80"
"215","Lập trình hệ thống","SYPR432780",NULL,NULL,NULL,NULL,"80"
"216","Mạng máy tính nâng cao","ADNT330580",NULL,NULL,NULL,NULL,"80"
"217","Thiết kế mạng","CNDE430780",NULL,NULL,NULL,NULL,"80"
"218","An toàn ứng dụng web","WASE432680",NULL,NULL,NULL,NULL,"80"
"219","Hệ thống giám sát an toàn mạng","NSMS432280",NULL,NULL,NULL,NULL,"80"
"220","An toàn mạng không dây và di động","WISE432380",NULL,NULL,NULL,NULL,"80"
"221","Pháp lý kỹ thuật số","DIFO432180",NULL,NULL,NULL,NULL,"80"
"222","Tiểu luận chuyên ngành ATTT ","POIS431479",NULL,NULL,NULL,NULL,"79"
"223","Chuyên đề doanh nghiệp","INTE202879",NULL,NULL,NULL,NULL,"79"
"224","Thực tập Tốt Nghiệp (ATTT)","ITIN441085",NULL,NULL,NULL,NULL,"85"
"225","Lãnh đạo và kinh doanh trong kỹ thuật","LEBU202979",NULL,NULL,NULL,NULL,"79"
"226","Khóa luận tốt nghiệp","GRPR474377",NULL,NULL,NULL,NULL,"77"
"227","Kinh tế học đại cương","GEFC220105",NULL,NULL,NULL,NULL,"05"
"228","Nhập môn quản trị chất lượng","IQMA220205",NULL,NULL,NULL,NULL,"05"
"229","Nhập môn Quản trị học","INMA220305",NULL,NULL,NULL,NULL,"05"
