"ID_CTDT","TenCTDT","KyHieu","NamBH","ID_Khoa"
"1","Sư phạm tiếng Anh","7140231","2023","12"
"2","Thiết kế đồ họa","7210403","2023","8"
"3","Thiết kế thời trang","7210404","2023","4"
"4","Ngôn ngữ Anh","7220201","2023","12"
"5","Kinh doanh Quốc tế","7340120","2023","10"
"6","Thương mại điện tử","7340122","2023","10"
"7","Kế toán","7340301","2023","10"
"8","Luật","7380101","2023","11"
"9","Công nghệ kỹ thuật máy tính","7480108","2023","7"
"10","Hệ thống nhúng và IoT","7480118","2023","7"
"11","Công nghệ thông tin","7480201","2023","5"
"12","An toàn thông tin","7480202","2023","5"
"13","Kỹ thuật dữ liệu","7480203","2023","5"
"14","Công nghệ kỹ thuật công trình xây dựng","7510102","2023","13"
"15","Hệ thống kỹ thuật công trình xây dựng","7510106","2023","13"
"16","Công nghệ kỹ thuật cơ khí","7510201","2023","1"
"17","Công nghệ chế tạo máy","7510202","2023","1"
"18","Công nghệ kỹ thuật cơ điện tử","7510203","2023","1"
"19","Công nghệ kỹ thuật ô tô","7510205","2023","2"
"20","Công nghệ kỹ thuật nhiệt","7510206","2023","2"
"21","Năng lượng tái tạo","7510208","2023","2"
"22","Robot và trí tuệ nhân tạo","7510209","2023","1"
"23","Công nghệ kỹ thuật điện, điện tử","7510301","2023","7"
"24","Công nghệ kỹ thuật điện tử, viễn thông","7510302","2023","7"
"25","Công nghệ kỹ thuật điều khiển và tự động hóa","7510303","2023","7"
"26","Công nghệ kỹ thuật hóa học","7510401","2023","3"
"27","Công nghệ vật liệu","7510402","2023","9"
"28","Công nghệ kỹ thuật môi trường","7510406","2023","3"
"29","Quản lý công nghiệp","7510601","2023","10"
"30","Logistic và quản lý chuỗi cung ứng","7510605","2023","10"
"31","Công nghệ kỹ thuật in","7510801","2023","8"
"38","Kỹ thuật công nghiệp","7520117","2023","1"
"39","Kỹ thuật y sinh (Điện tử y sinh)","7520212","2023","7"
"40","Công nghệ thực phẩm","7540101","2023","3"
"41","Công nghệ may","7540209","2023","4"
"42","Kỹ nghệ gỗ và nội thất","7549002","2023","1"
"43","Kiến trúc","7580101","2023","13"
"44","Kiến trúc nội thất","7580103","2023","13"
"45","Kỹ thuật xây dựng công trình giao thông","7580205","2023","13"
"46","Quản lý xây dựng","7580302","2023","13"
"47","Quản trị nhà hàng và dịch vụ ăn uống","7810202","2023","4"
"48","Quản lý và vận hành hạ tầng","7840110","2023","13"
