ID khóa học,Tên khóa học
70,1970 - 1974
71,1971 - 1975
72,1972 - 1976
73,1973 - 1977
74,1974 - 1978
75,1975 - 1979
76,1976 - 1980
77,1977 - 1981
78,1978 - 1982
79,1979 - 1983
80,1980 - 1984
81,1981 - 1985
82,1982 - 1986
83,1983 - 1987
84,1984 - 1988
85,1985 - 1989
86,1986 - 1990
87,1987 - 1991
88,1988 - 1992
89,1989 - 1993
90,1990 - 1994
91,1991 - 1995
92,1992 - 1996
93,1993 - 1997
94,1994 - 1998
95,1995 - 1999
96,1996 - 2000
97,1997 - 2001
98,1998 - 2002
99,1999 - 2003
K0,2000 - 2004
K1,2001 - 2005
K2,2002 - 2006
K3,2003 - 2007
K4,2004 - 2008
K5,2005 - 2009
K6,2006 - 2010
K7,2007 - 2011
K8,2008 - 2012
K9,2009 - 2013
K10,2010 - 2014
K11,2011 - 2015
K12,2012 - 2016
K13,2013 - 2017
K14,2014 - 2018
K15,2015 - 2019
K16,2016 - 2020
K17,2017 - 2021
K18,2018 - 2022
K19,2019 - 2023
K20,2020 - 2024
K21,2021 - 2025
K22,2022 - 2026
K23,2023 - 2027
K24,2024 - 2028
K25,2025 - 2029
K26,2026 - 2030
K27,2027 - 2031
K28,2028 - 2032
K29,2029 - 2033
K30,2030 - 2034
K31,2031 - 2035
K32,2032 - 2036
K33,2033 - 2037
K34,2034 - 2038
K35,2035 - 2039
K36,2036 - 2040
K37,2037 - 2041
K38,2038 - 2042
K39,2039 - 2043
K40,2040 - 2044
K41,2041 - 2045
K42,2042 - 2046
K43,2043 - 2047
K44,2044 - 2048
K45,2045 - 2049
K46,2046 - 2050
K47,2047 - 2051
K48,2048 - 2052
K49,2049 - 2053
K50,2050 - 2054
