Id,Dan_toc,Mapping Mã,CSV Mã,CSV Tên,CSV Tên khác
1,Kinh,1.0,1.0,Kinh,việt
2,Mường,3.0,2.0,Tày,"thổ, ngạn, phén, thù lao, pa dí, tày khao"
3,Tày,2.0,3.0,Thái,"tày đăm, tày mười, tày thanh, mán thanh, hàng bông, tày mường, pa thay, thổ đà bắc"
4,Thái,3.0,4.0,Hoa,"hán, triều châu, phúc kiến, quảng đông, hải nam, hạ, xạ phạng"
5,Hoa,4.0,5.0,Khơ-me,"cur, cul, cu, thổ, việt gốc miên, krôm"
6,Khmer,56,6.0,Mường,"mol, mual, mọi, mọi bi, ao tá, ậu tá"
7,Chàm,17.0,7.0,Nùng,"xuồng, giang, nùng an, phàn sinh, nùng cháo, nùng lòi, quý rim, khèn lài"
8,Dao,9.0,8.0,HMông,"mèo, hoa, mèo xanh, mèo đỏ, mèo đen, ná mẻo, mán trắng"
9,Nùng,7.0,9.0,Dao,"mán, động, trại, xá, dìu, miên, kiềm, miền, quần trắng, dao đỏ, quần chẹt, lô giang, dao tiền, thanh y, lan tẻn, đại bản, tiểu bản, cóc ngáng, cóc mùn, sơn đầu"
10,H'Mông,56,10.0,Gia-rai,"giơ-rai, tơ-buăn, chơ-rai, hơ-bau, hđrung, chor"
11,Sán dìu,18.0,11.0,Ngái,"xín, lê, đản, khách gia"
12,Pa cô,56,12.0,Ê-đê,"ra-đê, đê, kpạ, a-đham, krung, ktul, đliê ruê, blô, epan, mđhur, bih"
13,Mơ nông,56,13.0,Ba na,"giơ-lar. tơ-lô, giơ-lâng, y-lăng, rơ-ngao, krem, roh, conkđe, a-la công, kpăng công, bơ-nâm"
14,Ba na,13.0,14.0,Xơ-Đăng,"xơ-teng, hđang, tơ-đra, mơ-nâm, ha-lăng, ca-dong, kmrâng, conlan, bri-la, tang"
15,Ê đê,12.0,15.0,Sán Chay,"cao lan, sán chỉ, mán cao lan, hờn bạn, sơn tử"
16,Gia rai,10.0,16.0,Cơ-ho,"xrê, nốp, tu-lốp, cơ-don, chil, lat, lach, trinh"
