Ten_lop,ID_lop,ID_khoa
,0,0
0,1,0
00,2,0
000,3,0
001011,4,0
001011A,5,0
001011C,6,0
001012,7,0
001013,8,0
001014,9,0
001015,10,0
001016,11,0
001017,12,0
001021,13,0
001022,14,0
001023,15,0
001024,16,0
001025,17,0
001031,18,0
001031A,19,0
001032,20,0
001034,21,0
001041,22,0
0010410,23,0
001042,24,0
001043,25,0
001044,26,0
001051,27,0
001051B,28,0
001054,29,0
001061,30,0
001062,31,0
001071,32,0
001071A,33,0
001072,34,0
001081,35,0
001082,36,0
001083,37,0
00108B,38,0
001091,39,0
001092,40,0
001093,41,0
001211,42,0
002011,43,0
00202,44,0
002021,45,0
002031,46,0
00203TP,47,0
002051,48,0
00211,49,0
00401VL,50,0
00402LB,51,0
00402TV,52,0
00404SO,53,0
00404TV,54,0
0040IVL,55,0
005011,56,0
007011,57,0
007021,58,0
007021A,59,0
007022,60,0
007031,61,0
007032,62,0
007033352,63,0
007051,64,0
007052,65,0
007091,66,0
007101,67,0
007102,68,0
01052E,69,0
010720A,70,0
011011,71,0
011012,72,0
011012C,73,0
011021,74,0
011021C,75,0
011022,76,0
011031,77,0
011032,78,0
011040,79,0
011041D,80,0
011051,81,0
011051A,82,0
011052,83,0
011061,84,0
011071,85,0
011081,86,0
011101,87,0
011111,88,0
011121,89,0
011121B,90,0
011131,91,0
011210,92,0
011211,93,0
011221,94,0
012011,95,0
012021,96,0
012031,97,0
012051,98,0
012091,99,0
013011,100,0
013021,101,0
013031,102,0
014010A,103,0
01401CA,104,0
01402PY,105,0
01402TV,106,0
01404CA,107,0
01404TV,108,0
017021,109,0
017031,110,0
017051,111,0
017091,112,0
017101,113,0
018101,114,0
01D01A1,115,0
01D03A1,116,0
01F02DVH,117,0
02018C,118,0
021011A,119,0
021011B,120,0
021011C,121,0
021012A,122,0
021012B,123,0
021012C,124,0
021021A,125,0
021021B,126,0
021021C,127,0
021022A,128,0
021022B,129,0
021022C,130,0
021031,131,0
021031A,132,0
021031B,133,0
021031C,134,0
021032A,135,0
021032B,136,0
021032C,137,0
02104A,138,0
02104B,139,0
02104C,140,0
021051A,141,0
021051B,142,0
021051C,143,0
021052A,144,0
021052B,145,0
021052C,146,0
02106A,147,0
02106B,148,0
02107,149,0
02107A,150,0
02107B,151,0
021080,152,0
02108A,153,0
02108B,154,0
02108C,155,0
02109E,156,0
02110,157,0
021102,158,0
02110A,159,0
02111,160,0
021114,161,0
02111A,162,0
02111B,163,0
02112A,164,0
02112B,165,0
02113,166,0
02113A,167,0
02113B,168,0
02114A,169,0
02114B,170,0
02121A,171,0
02121B,172,0
02122,173,0
02123A,174,0
02123B,175,0
02201TP,176,0
022021,177,0
02202TP,178,0
02203TP,179,0
02205TP,180,0
023011,181,0
023021,182,0
023031,183,0
023091,184,0
02401CT,185,0
02401CVL,186,0
02402PY,187,0
